"Endpoint Name","Endpoint FQDN","IP","Antimalware","Network Attack Defense","Advanced Anti-Exploit","Firewall","Content Control","Antiphishing","Web Traffic Scan","Device Control","Power User","Exchange","Advanced Threat Control","Application Control","Hyper Detect","Sandbox Analyzer","Anti-Tampering","Scan Mode"
"LNBIOENG07","lnbioeng07.sarah.br","10.1.83.69","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNGUICHE02","lnguiche02.sarah.br","10.1.83.42","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRECEP01","lnrecep01.sarah.br","10.1.93.142","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNNEUROPSIC07","lnneuropsic07.sarah.br","10.1.83.28","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNAMBLJ02","lnamblj02.sarah.br","10.1.93.112","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISL07C01","lnrisl07c01.sarah.br","10.1.93.18","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Disabled","Local"
"LNRECEP03","lnrecep03.sarah.br","10.1.93.208","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISL08C03","lnrisl08c03.sarah.br","10.1.84.173","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISL01C01","lnrisl01c01.sarah.br","10.1.83.64","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRECEP02","lnrecep02.sarah.br","10.1.93.12","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNAMBLJ10","lnamblj10.sarah.br","10.1.93.108","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNAMB02","lnamb02.sarah.br","10.1.93.54","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLAVANDERIA02","lnlavanderia02.sarah.br","10.1.94.59","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLAVANDERIA01","lnlavanderia01.sarah.br","10.1.84.146","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRAD09","lnrad09.sarah.br","10.1.94.78","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNMANUT09","lnmanut09.sarah.br","10.1.84.249","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNCOLABORADOR02","lncolaborador02.sarah.br","10.1.83.70","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNMANUT03","lnmanut03.sarah.br","10.1.83.44","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRAD05","lnrad05.sarah.br","10.1.93.33","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNNUTRICAO06","lnnutricao06.sarah.br","10.1.83.92","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNHIGIENE01","lnhigiene01.sarah.br","10.1.93.48","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV02","lnlabmov02.sarah.br","10.1.83.126","Enabled","Not installed","Not installed","Disabled","Disabled","Disabled","Disabled","Disabled","Enabled","Not installed","Disabled","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV03","lnlabmov03.sarah.br","10.1.83.37","Enabled","Not installed","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV04","lnlabmov04.sarah.br","10.1.93.10","Enabled","Not installed","Not installed","Disabled","Disabled","Disabled","Disabled","Disabled","Enabled","Not installed","Disabled","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV01","lnlabmov01.sarah.br","10.1.83.104","Enabled","Not installed","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV13","lnlabmov13.sarah.br","10.1.84.150","Enabled","Not installed","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV05","lnlabmov05.sarah.br","10.1.84.148","Enabled","Not installed","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV11","lnlabmov11.sarah.br","10.1.83.30","Enabled","Not installed","Not installed","Disabled","Disabled","Disabled","Disabled","Disabled","Enabled","Not installed","Disabled","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOV12","lnlabmov12.sarah.br","10.1.83.50","Enabled","Not installed","Not installed","Disabled","Disabled","Disabled","Disabled","Disabled","Enabled","Not installed","Disabled","Not installed","Enabled","Disabled","Enabled","Local"
"BSBDENSITOMETRO","bsbdensitometro.sarah.br","10.1.90.6","Enabled","Not installed","Enabled","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNLABMOVXX","lnlabmovxx.sarah.br","10.1.93.27","Enabled","Not installed","Enabled","Disabled","Disabled","Disabled","Disabled","Disabled","Enabled","Not installed","Disabled","Not installed","Enabled","Disabled","Enabled","Local"
"LNBIOENG09","lnbioeng09.sarah.br","10.1.83.100","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNINF02","lninf02.sarah.br","10.1.93.90","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNINF05","lninf05.sarah.br","10.1.93.128","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNINF00","lninf00.sarah.br","10.1.83.11","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNTOTEM01","lntotem01.sarah.br","10.1.93.40","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNCOORDENACAO04","lncoordenacao04.sarah.br","10.1.83.62","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNCOORDENACAO03","lncoordenacao03.sarah.br","10.1.94.52","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
